,logFC,-log10Pval
YALI1_B12489g,-6.59319284258536,Inf
YALI1_D00376g,-6.09529321788528,Inf
YALI1_D09308g,5.68718966289054,Inf
YALI1_D00515g,4.93006179644465,Inf
YALI1_D18442g,4.92779338087016,Inf
YALI1_E36619g,4.84479630311091,Inf
YALI1_D01905g,-4.64737068897615,Inf
YALI1_E22414g,4.53313027859175,Inf
YALI1_E23068g,4.30403538652889,Inf
YALI1_D12723g,-4.03406359654037,Inf
YALI1_F28915g,3.87944420646119,Inf
YALI1_C32721g,3.69246873853829,Inf
YALI1_F09056g,-3.5503650897474,Inf
YALI1_B29753g,-3.51512947576211,Inf
YALI1_C12317g,2.76649885802498,Inf
YALI1_F22674g,2.71570814514317,Inf
YALI1_E04143g,2.6447164927718,Inf
YALI1_D06195g,-2.52624148897729,Inf
YALI1_A01394g,-2.51033504175139,Inf
YALI1_F14072g,-2.41682886376084,Inf
YALI1_D16783g,2.31349364023032,Inf
YALI1_B26596g,2.23514923056091,Inf
YALI1_C11382g,-2.35022327203055,313.40973707499
YALI1_B27144g,2.50964143156542,309.755739268671
YALI1_E22718g,-3.14493403564801,309.173470981708
YALI1_C26377g,1.77946291669882,308.705616284356
YALI1_E01741g,-4.41180011948072,299.747128614282
YALI1_B15151g,-2.24220518207985,277.981064350439
YALI1_E00628g,6.92485840008252,274.072925441771
YALI1_B24638g,-2.18139430463894,268.093950203622
YALI1_E37234g,2.1335294500016,264.535497612172
YALI1_E31154g,1.66845446226148,263.099884661277
YALI1_C04490g,-2.1641605642627,259.489669580612
YALI1_E13329g,-4.14581081677426,259.147126592196
YALI1_C29618g,-2.34255388565798,256.128899555403
YALI1_E03220g,-2.11957712082032,248.615989437926
YALI1_F37320g,2.52499153571372,248.588541178288
YALI1_E12847g,3.336062658601,236.034149730275
YALI1_A15544g,6.09094144090547,234.462330639387
YALI1_C02332g,-1.82294616144055,234.103009350379
YALI1_E41148g,-2.35415367889822,232.972543295679
YALI1_A03837g,1.79044188098529,229.304376689694
YALI1_E26229g,-1.65112396136254,227.873148936827
YALI1_C03674g,-1.63493016853846,224.216180205648
YALI1_C29506g,2.13112620486061,220.35764878731
YALI1_D10458g,-1.62457418611731,220.292087848937
YALI1_C24262g,-3.44362777530406,218.939953617751
YALI1_F03136g,1.79071718292734,216.026347869422
YALI1_F24963g,2.60238956362012,213.922446048504
YALI1_F35753g,-1.62682550185864,209.185625031501
YALI1_A17957g,1.69454364002973,206.20836277319
YALI1_A05795g,3.604492775697,204.887048254712
YALI1_F09155g,-2.83205672046749,204.857705101332
YALI1_F14495g,-2.0480583757294,203.134861857473
YALI1_C07081g,-1.63488144245326,201.344720099255
YALI1_A21871g,-2.99756639573212,198.57584676402
YALI1_E20963g,1.90368617601154,197.94559718028
YALI1_C24124g,-2.75266007537365,196.960743695038
YALI1_C23950g,-4.20749857418694,196.756934619067
YALI1_C29595g,-2.00134838524535,196.64265764287
YALI1_E33459g,1.58051575171436,196.312471988634
YALI1_F05088g,-2.48470345002147,194.169919433371
YALI1_C06071g,-1.82828697086546,193.527044372226
YALI1_B07413g,2.4402917167122,192.989472759455
YALI1_F23551g,1.61654761001647,192.363370597513
YALI1_C04031g,2.61741192005933,192.192705494871
YALI1_D25037g,1.57996019762801,191.189365364882
YALI1_D23067g,-1.88921984181684,189.847684488739
YALI1_B13536g,-1.95313714686096,189.246619912041
YALI1_F38191g,2.04645980540013,189.235265896725
YALI1_E40640g,-2.21796959670524,187.167518177658
YALI1_E14350g,-2.3523715587316,186.867997617297
YALI1_E37982g,-2.5309535059436,185.918085720836
YALI1_D25664g,1.82101981862893,183.908111845509
YALI1_F22376g,-2.99831915242146,182.148751248373
YALI1_F14090g,-2.06359726274206,181.568244920393
YALI1_C02402g,-1.76457433938318,180.887265958635
YALI1_C16347g,-1.82154932576888,180.140150467933
YALI1_A12403g,-1.27241725009023,180.111898410647
YALI1_E22238g,-2.15460403946639,179.982534665474
YALI1_A12772g,2.83390479861326,179.313335145642
YALI1_A11079g,-2.31324290088594,178.994840113556
YALI1_F11481g,5.00077904945313,177.10050839848
YALI1_B24129g,-1.86362223166855,176.872538089479
YALI1_C00694g,-1.75089810619581,176.255084282035
YALI1_F15533g,-1.22683797217258,175.586244634671
YALI1_D14986g,-2.33857859698308,175.026332893493
YALI1_E22613g,-1.74749686103157,174.885891833389
YALI1_E27600g,1.51285039276353,174.625514738548
YALI1_F31353r,-2.18147724748651,174.540774987914
YALI1_F36094g,2.82890230553577,173.981174098345
YALI1_D01378g,1.8046929339993,173.463105476829
YALI1_C09606g,-3.51194734961128,173.280230428559
YALI1_C32352g,2.11310111658301,173.08381992417
YALI1_C25621g,-1.94901456849705,171.036903293975
YALI1_A12411g,-1.34086940190104,170.530618614767
YALI1_F26793g,3.31486880082133,170.035708305813
YALI1_E24078g,2.09796750091737,168.816313687018
YALI1_E23629g,-2.43832621405556,168.317453432188
YALI1_B25387g,-1.99402685370082,168.214947630441
YALI1_C12121g,2.28493148594584,167.496523974001
YALI1_E13541g,3.98269298294627,167.411227719124
YALI1_F18835g,-3.99399558313499,166.885686690729
YALI1_F25885g,-2.50879657741318,166.462181315206
YALI1_C13973g,-3.25792492198656,166.193791999091
YALI1_A09010g,1.69789392052252,164.526620051862
YALI1_E28903g,-1.94144135222403,164.499232647645
YALI1_C29854g,-1.63757018889821,164.123870687032
YALI1_C10232g,-1.33150429850997,163.725997370044
YALI1_F35274g,-1.7848556241781,163.560202538775
YALI1_C32886g,-3.25034120072203,161.444505788029
YALI1_F10866g,5.65298670977622,160.934629811664
YALI1_D08186g,2.55815844912279,159.748782655053
YALI1_E29433g,-1.90962300809357,159.399602034962
YALI1_D32754g,-1.69042826564565,158.840178937778
YALI1_C06222g,-6.16682379708701,158.832421728893
YALI1_D19187g,1.97853582359158,158.650153151114
YALI1_B01839g,-1.50547889777539,158.163923286854
YALI1_A10798g,2.18337247921372,158.126986619289
YALI1_E29665g,-1.38718796809767,157.905952415785
YALI1_F19697g,-1.43937214116598,156.723665977228
