genes,logFC,logCPM,PValue,FDR
YALI1_D00474g,-3.50451356849355,8.0123307081498,7.67461422764971e-59,1.32233603142404e-55
YALI1_A06099g,-2.28681036509329,7.98468025359445,9.92332765983167e-30,8.54894677894499e-27
YALI1_C10203g,-2.13346583678139,8.93372952530451,6.34055963721255e-26,3.64159475163907e-23
YALI1_F37320g,2.35153497200625,8.67505572113019,1.08970017491683e-25,4.69388350345425e-23
YALI1_C29506g,2.19134278171221,9.29285567310488,9.11256648461307e-24,3.14019041059767e-21
YALI1_E07234g,2.07794053871467,8.25456489227814,2.13600625189742e-23,6.13389795336543e-21
YALI1_E41251g,-2.28213873807412,9.00360591443191,1.32544067779087e-22,3.26247755404809e-20
YALI1_E02481g,-2.88980497519895,7.9412642467732,1.09289791105905e-20,2.35382887594342e-18
YALI1_E09241g,-2.25565889660354,8.40823152009754,4.74200407846182e-20,9.07830336354413e-18
YALI1_C31408g,-1.77470044135543,8.74580404348979,1.89296290333841e-19,3.05287079450589e-17
YALI1_A16292g,-1.55591553622964,8.70552076906099,1.94901791872111e-19,3.05287079450589e-17
YALI1_C32886g,-2.03598207238668,7.35259535060289,7.97490353415145e-19,1.14506323244525e-16
YALI1_B29419g,2.21546176316715,9.68267019549644,8.96968251201851e-18,1.18882792063138e-15
YALI1_B25553g,-2.00247068530759,8.3511203155014,1.04559673955356e-17,1.28683084446484e-15
YALI1_E31005g,-3.07657379321217,10.6100578179046,2.18832063885055e-17,2.51365097382633e-15
YALI1_F23664g,1.73496815756507,10.9790342585195,3.11259999378861e-17,3.35188111831111e-15
YALI1_E17389g,1.793314471614,8.76394619342442,6.91906152826134e-16,7.01267236070252e-14
YALI1_D26051g,-1.86037036723702,10.4089960064505,3.70204755414501e-15,3.54368218655103e-13
YALI1_F38191g,1.48589754620871,9.42707863430697,5.34253785412415e-15,4.84483827508206e-13
YALI1_E27441g,1.65546126012539,8.9020212411472,1.34455215436778e-14,1.15833168098785e-12
YALI1_D26263g,1.54737881224499,8.35532697067078,2.42472935362953e-14,1.96142780149444e-12
YALI1_A10857g,-1.78219265762009,10.8016726694242,2.50443480167601e-14,1.96142780149444e-12
YALI1_D31155g,-1.91544943137413,6.81937713362907,1.48438267225474e-13,1.11199623664996e-11
YALI1_E36437g,-1.32882720147204,8.29109158178185,2.26569583289136e-13,1.62658080002992e-11
YALI1_D13510g,-1.62974659590857,9.16459535296723,4.54132850021921e-13,3.12988360235108e-11
YALI1_F36733g,-2.87965738818594,10.0467016043492,1.17362755213869e-12,7.77753950898062e-11
YALI1_C26377g,2.39217415672148,11.93391758941,6.98097266302675e-12,4.45489477718337e-10
YALI1_D02444g,-1.29101569056076,8.15908661756409,3.0268825128389e-11,1.86261377486479e-09
YALI1_A15105g,1.32674355131819,6.84947026349028,3.16799633072478e-11,1.88222678546165e-09
YALI1_F37463g,-2.04385998888786,8.66574776669129,4.2171518174532e-11,2.42205086049062e-09
YALI1_B12409g,-1.99255488807799,9.13370121631812,4.67621352279613e-11,2.59906964508959e-09
YALI1_D04128g,-2.08648846189769,10.4680164665393,6.62786731802401e-11,3.56869230904855e-09
YALI1_C30320g,-1.42073162511346,9.827631098941,7.66384576085499e-10,4.00145643816762e-08
YALI1_B18572g,1.19711688063531,9.70957471129091,9.30802012342065e-10,4.71697608019229e-08
YALI1_D18408g,-1.17991946100252,7.83183377784002,1.03484318266822e-09,5.09438515353527e-08
YALI1_D13545g,1.32081000252256,8.00101325637545,1.55141093182155e-09,7.42522509869038e-08
YALI1_B24351g,1.16282993459606,8.55191397800172,2.45076966222724e-09,1.14126381838312e-07
YALI1_F29395g,-1.80576571509692,8.86082432994823,3.17214305020032e-09,1.43831644091978e-07
YALI1_B24638g,1.24610511260322,7.85936573673889,3.39783882175847e-09,1.50114776663842e-07
YALI1_D16151g,1.08876448316868,7.17830421700189,5.42828378372864e-09,2.33823323984111e-07
YALI1_D10197g,-1.2551089619069,7.89083634246151,7.50978243445398e-09,3.15594027672298e-07
YALI1_C29676g,1.08975632039808,7.78150725323242,7.95350893936728e-09,3.2628323577452e-07
YALI1_A20995g,-2.04411891757215,9.19441474333925,8.33705384841922e-09,3.34063808856426e-07
YALI1_D00888g,-1.31145137537131,7.48976285363975,9.33855505993266e-09,3.65689326551454e-07
YALI1_F06351g,-1.2234421781558,7.11711922549271,1.02833808695608e-08,3.93739227516738e-07
YALI1_B05798g,1.06796963451568,7.66312607645073,1.08573690068424e-08,4.06679278234555e-07
YALI1_D12832g,-1.32354427744565,6.84868488600624,1.96405604844683e-08,7.20014589675295e-07
YALI1_F12138g,1.05247007525902,9.39814797837137,2.64480517457597e-08,9.49374857457164e-07
YALI1_F14729g,-1.45464813562326,9.69475017364082,5.54537624548377e-08,1.94993536142215e-06
YALI1_E41367g,1.46455562637854,11.6767377602667,8.78984106810197e-08,3.02897923206794e-06
YALI1_F37714g,1.19592003420323,8.46347848977854,1.05264390392363e-07,3.55628518913805e-06
YALI1_E41276g,-1.16691604564,8.16575801421333,1.08075469870332e-07,3.58103912666505e-06
YALI1_F32330g,0.972232403863517,7.04083488134397,1.19271411709409e-07,3.87744608255304e-06
YALI1_C28310g,1.22888960434114,5.50913011291849,1.35222024176743e-07,4.31458421586163e-06
YALI1_E23610g,1.23658593459263,9.69856204470573,1.46718104328513e-07,4.59627806832778e-06
YALI1_F02309g,-1.16452122791902,12.1210443920898,1.56831458922343e-07,4.82536792362851e-06
YALI1_D09566g,1.42160842485716,8.04828917519498,1.61528710064246e-07,4.88270118317011e-06
YALI1_D10458g,-1.29557055760322,8.50978405885259,1.90767630370147e-07,5.6671142608235e-06
YALI1_E16556g,-1.43712839701576,9.72491588294464,1.99413755012337e-07,5.8235576251908e-06
YALI1_B11853g,0.91536386650783,7.17736148757806,4.72072153345851e-07,1.35563386702484e-05
YALI1_D23067g,-1.08472034087663,5.85316228317304,6.07353543940608e-07,1.71552484624536e-05
YALI1_E25267g,-1.02176311925918,4.30869773196229,8.60602013548129e-07,2.39164075700553e-05
YALI1_F01456g,1.6866466375217,9.88920797756429,1.00376603044395e-06,2.74522042929354e-05
YALI1_F37508g,2.32351590895665,6.06113751045396,1.1304014249573e-06,3.04325258625224e-05
YALI1_E07347g,1.02044167784937,6.96905248398424,1.26455565233093e-06,3.35204521379414e-05
YALI1_F27667g,-1.12822436758008,9.08839577030885,1.4079694835468e-06,3.67565366689567e-05
YALI1_B14680g,1.1432972758036,7.73234776808894,1.58638748092956e-06,4.07962034274871e-05
YALI1_C07816g,-0.932481520763638,7.22660462858419,1.65089104214022e-06,4.18306656707e-05
YALI1_E14505g,-0.962531039997587,8.99686813879437,2.09973150172974e-06,5.24324257605848e-05
YALI1_F03136g,1.03177822444093,8.6948046624035,2.91323909333212e-06,7.16450799860507e-05
YALI1_F13875g,1.18789277728588,8.76320797958926,2.98062836336794e-06,7.16450799860507e-05
YALI1_F29139g,-0.961576826076343,8.26122724249433,2.99387449738575e-06,7.16450799860507e-05
YALI1_E24343g,-1.37790736565663,10.4591033564441,3.22976226234048e-06,7.62312380549678e-05
YALI1_F09747g,-0.896248192394706,7.17337458451071,3.8562448694195e-06,8.97879717568892e-05
YALI1_C14273g,-1.18153997133774,5.3869862010434,4.03897494687576e-06,9.27887177795592e-05
YALI1_B03404g,0.853914734563495,6.06556349071317,4.16741979017558e-06,9.44797934009544e-05
YALI1_A00746g,0.956527976292953,7.93690363974437,4.81848985838705e-06,0.000107821532805206
YALI1_F21875g,1.11073464434881,8.06393691320636,5.54402670872274e-06,0.000122466128450375
YALI1_F30877g,-0.763561447777294,8.24000889899036,5.61665713746345e-06,0.000122500003137336
YALI1_C05088g,1.00396947409437,3.85426156759267,5.73211176480213e-06,0.000123455357134426
YALI1_D22834g,-1.0422139202433,7.12917127901143,6.19538916820328e-06,0.000131785870824867
YALI1_D11686g,-1.00526500959434,9.19020240023969,7.74646235797706e-06,0.000162770178570664
YALI1_F32067g,0.848463963127297,8.39770001625853,9.72903495704846e-06,0.000201965388325235
YALI1_B20289g,-0.807379968029676,8.39585303830111,1.06612527128235e-05,0.000218682600288034
YALI1_E12793g,1.07539826179276,8.19768228323325,1.09635677607014e-05,0.000222237967666924
YALI1_C32184g,0.860711122719411,7.74632745901382,1.35808577909117e-05,0.000270048388765063
YALI1_E14234g,-1.87809313478941,8.0838504023902,1.36356412202905e-05,0.000270048388765063
YALI1_C33299g,0.886817472470193,10.4720655702158,1.44197336460353e-05,0.000282331830364986
YALI1_E21406g,-1.00373648914888,8.2453774750724,1.4765911571032e-05,0.000285861411650428
YALI1_A05459g,-1.11739233330122,6.08352833209443,1.50389926092144e-05,0.000286633308770816
YALI1_D30540g,-0.964124575124271,8.84120200395154,1.54020915363106e-05,0.000286633308770816
YALI1_E01798g,-0.996368009939186,5.42604470560962,1.54186196297474e-05,0.000286633308770816
YALI1_E27880g,0.941808909819472,12.0529902309529,1.54712116748032e-05,0.000286633308770816
YALI1_D07576g,0.842357142666184,9.65575921822417,1.6403890874795e-05,0.000300679829545444
YALI1_D03865g,-0.788439218212346,7.71607007625687,2.02523701251389e-05,0.000367314039216992
YALI1_F34324g,1.20810520191406,7.05048376456467,2.15688751844404e-05,0.000387116374404071
YALI1_E23961g,0.939888518823107,8.77799722552772,2.35138384462556e-05,0.000417673645803077
YALI1_A06594g,-0.874812693551925,9.36591552666154,3.03920262714477e-05,0.000525271838517695
YALI1_E15452g,-0.816279028203625,8.38471088456839,3.05867124111304e-05,0.000525271838517695
YALI1_F23922g,0.83861041048931,6.52177865989937,3.0630074029738e-05,0.000525271838517695
YALI1_D24997g,-0.849118667667873,9.35017211776206,3.08332991657089e-05,0.000525271838517695
YALI1_F02545g,-1.36273734781161,9.84322833447744,3.10956050660504e-05,0.000525271838517695
YALI1_B21562g,-1.47176509312627,5.41508415042267,3.82714108730162e-05,0.000640210106157349
YALI1_A20370g,0.946104452967071,10.9220686580529,4.04441563905079e-05,0.000670050783277357
YALI1_F06262g,-1.04689807204282,8.27402256678934,4.72759539047993e-05,0.000775775891218755
YALI1_F19345g,-0.772418404646232,7.36739785791632,5.05068831238142e-05,0.00081802060164262
YALI1_F00654g,1.04799172295311,7.89378715452837,5.07998864630066e-05,0.00081802060164262
YALI1_B29310g,0.8960940018387,5.28875819851819,5.16405102715029e-05,0.000823857399979626
YALI1_E38706g,1.06762679466085,7.70901107124875,5.42679691364017e-05,0.000857832209376331
YALI1_E03762g,-0.759129481390157,7.83707628254787,5.8720115847103e-05,0.000919770541859623
YALI1_F10990g,0.776919252095649,6.68672325358478,6.52648541193659e-05,0.001013075167997
YALI1_C15297g,-1.30345555487318,7.15030304888953,6.83383255407378e-05,0.00105131191880974
YALI1_C14450g,-0.748372356035672,12.4763659511311,7.65713401185196e-05,0.00116754353118769
YALI1_D27637g,0.753001558574903,7.19027152081927,7.80231664803415e-05,0.00117924487583884
YALI1_B26112g,0.754579309812827,6.38254495960702,8.01683174259936e-05,0.00120113052978249
YALI1_F31744g,1.06082947995044,8.50500474899954,8.60325035831682e-05,0.00127787934201551
YALI1_D30866g,-1.09766140928899,7.03197498360616,9.35346331174927e-05,0.0013774373748841
YALI1_C12788g,0.760642646925467,10.8893109787009,9.88724056592209e-05,0.0014437047029732
YALI1_E24360g,-0.832064698700417,6.84074640356776,0.000103779742146428,0.00150262601443946
YALI1_E40502g,-0.79675583744751,6.80868188379304,0.000105847288500499,0.00151971237591218
YALI1_C01720g,-0.743865522908207,9.58094362301482,0.000107266578276346,0.00151971237591218
YALI1_D30705g,-0.853588061794521,5.21280580050707,0.000107605867592156,0.00151971237591218
YALI1_E15398g,-0.82314098578501,7.24263933774394,0.00010881589277173,0.00152430718085928
YALI1_D34487g,-0.728696351150849,6.09068764454347,0.000117514937036613,0.00163288900414584
YALI1_F03803g,-0.785687645526633,10.1771482098474,0.00012070813937964,0.00166384099320896
YALI1_E10587g,-0.826456651808458,8.44144832271941,0.000136910000840907,0.001872189932134
YALI1_B26596g,1.06090274783699,8.70310334727049,0.000143025123669867,0.0019404117171904
YALI1_B26984g,-0.798293339377489,7.28117592705371,0.000153977025992873,0.00207267512332594
YALI1_F04045g,0.678958529236368,9.45814553892522,0.000158293956473881,0.00211426734112013
YALI1_E22303g,-0.880474230641376,6.71802365562379,0.000163025561549472,0.00216071571192108
YALI1_C13227g,0.956639759379349,7.51102972076553,0.000172045516917774,0.00226285821106355
YALI1_C25598g,0.782850727572387,7.60932944733748,0.000174731712075537,0.00228077833262235
YALI1_E03789g,0.880025313511269,5.31119006233856,0.000183513016676436,0.00237739043408647
YALI1_E04499g,-0.794004418382845,7.33567056030096,0.000186573527570409,0.00239900140301355
YALI1_E01105g,0.644779254634362,9.28763536868252,0.00019507788289131,0.00248823891790415
YALI1_F20914g,-0.750283497654393,11.54246188009,0.000197361677613591,0.00248823891790415
YALI1_F22750g,-0.742029437051228,5.27993934556092,0.000197846042804915,0.00248823891790415
YALI1_B16277g,-0.714429048122576,8.15806064973602,0.000211813235598035,0.00264459568793778
YALI1_D32268g,0.689112980161838,10.3724724234109,0.000215252624727321,0.00266820339859837
YALI1_B01464g,-0.768777743081307,9.57256049586009,0.000228759248317508,0.00281537274893618
YALI1_F22794g,0.726049109418726,8.54649213075377,0.000231247485915698,0.002825811476828
YALI1_B21493g,0.697979305289016,9.47936781609337,0.000275627480101135,0.00334440949446659
YALI1_E34784g,0.691093989394168,9.96445118607617,0.000281299555958367,0.00338936457983403
YALI1_F24247g,0.801405094761209,8.18020267678565,0.000290682518834349,0.00346707658630077
YALI1_B28659g,0.688131590234941,9.83979977957235,0.000291773711557522,0.00346707658630077
