genes,HiT,LpH,Osm
KMXK0D01300,1.18135997483703,1.52899910742496,2.68011868385628
KMXK0H03460,1.07877814178437,0.659979262093627,0.966085784058279
KMXK0A01830,1.48652009301106,1.24294699357077,0.80276657954854
KMXK0F02060,0.971337513473724,0.7484372884501,0.728251994151962
KMXK0D00840,0.897846655122144,0.627816895508703,0.634131169952046
KMXK0B06180,0.78538470770911,0.626894011247018,0.538585174227219
KMXK0D03570,0.545589704199485,0.713704022558686,0.685108769443924
KMXK0E02700,0.753474894404627,0.646015372457006,0.70144476319343
KMXK0F03890,0.773468871351361,0.520970534727376,1.46477975160755
KMXK0D00170,1.1378772122769,1.42022054193961,0.741584013053934
