genes,logFC,logCPM,PValue,FDR
CENPK1137D_438,1.84636547286752,5.28857422512749,1.24194656580758e-26,6.66180137899184e-23
CENPK1137D_1386,2.12470566445114,6.4393137879805,2.58040513700325e-25,6.92064657744273e-22
CENPK1137D_4545,1.2457666512873,7.72873391833195,7.66293180840424e-24,1.37013220734268e-20
CENPK1137D_4476,1.30798891566598,6.070882184851,1.01238335191762e-21,1.35760607492153e-18
CENPK1137D_870,-1.29586244940366,6.76965525900871,6.60005174019026e-21,7.08053550687611e-18
CENPK1137D_521,1.40401319974493,5.73536857552879,8.79792815156006e-20,7.8653477674947e-17
CENPK1137D_1525,1.712104173332,4.94200575363343,3.10466090437991e-18,2.37905729872769e-15
CENPK1137D_2770,1.32928958430526,5.15983370815803,3.14973964219277e-17,2.11190043009025e-14
CENPK1137D_1940,2.64064834958557,5.01335749792268,1.07189807871259e-16,6.38851254912705e-14
CENPK1137D_3026,1.44825845759123,3.83571000151979,1.90016604823217e-15,1.01924906827174e-12
CENPK1137D_4620,1.92341428980276,3.54396813103215,2.6717808154877e-15,1.30285748129782e-12
CENPK1137D_4072,-1.02613804428856,6.42709369560228,3.2849351374788e-15,1.46836600645303e-12
CENPK1137D_4336,0.880251098756308,6.42989400119353,6.19131553004205e-15,2.55463203870351e-12
CENPK1137D_4563,1.97877255025222,3.91194987010273,1.31114094818121e-14,5.02354289003144e-12
CENPK1137D_2119,1.16182999533532,6.76231733476657,2.13850059621975e-14,7.64727813208182e-12
CENPK1137D_4859,-2.8580765062185,1.75264908793828,5.64299127794564e-14,1.89181282593127e-11
CENPK1137D_591,1.17764827164009,5.18191516825563,1.81968888699148e-13,5.74165364107193e-11
CENPK1137D_3192,1.10875546569458,4.53995636709639,5.37105837768552e-13,1.60057539655028e-10
CENPK1137D_2486,2.30378612587344,3.34608884135603,8.68497138911585e-13,2.4519045542746e-10
CENPK1137D_2196,1.43989647871578,7.79022532093026,1.22531288644793e-12,3.28628916145335e-10
CENPK1137D_1113,1.14493243422916,4.50118977032363,1.50534178339961e-12,3.84507301245501e-10
CENPK1137D_3406,1.44233790296118,4.22874600618098,1.02177150556638e-11,2.4912647072082e-09
CENPK1137D_239,-1.0128244405939,8.7221118217867,1.37358045344627e-11,3.20342850099383e-09
CENPK1137D_20,-1.03822116128984,10.488230851279,1.86242967144155e-11,4.16253031567186e-09
CENPK1137D_225,-1.10019057803822,7.97006687510837,2.35160313813465e-11,5.04559969318171e-09
CENPK1137D_2545,-0.943960622912437,7.97569124344263,2.61107625722666e-11,5.38685117067838e-09
CENPK1137D_2971,-1.31983144272315,7.49068788655346,2.75707862985227e-11,5.47739621130651e-09
CENPK1137D_1410,1.05285010374998,6.0088349927843,4.94735436814024e-11,9.47771743953722e-09
CENPK1137D_5081,-0.889229322282537,7.63884411844614,7.27964319394217e-11,1.29202928919643e-08
CENPK1137D_1744,-2.11917224689951,8.49319565874114,7.46698507924854e-11,1.29202928919643e-08
CENPK1137D_1885,-1.15581149829767,6.23704383694887,7.82333832916905e-11,1.31138708742696e-08
CENPK1137D_1527,-1.60914361690148,6.67113646353452,8.94973029260281e-11,1.45473797847035e-08
CENPK1137D_4614,1.56592738355446,3.10852098902193,1.44282228013592e-10,2.27626432666149e-08
CENPK1137D_3516,0.791032322109462,5.60694382007061,1.94041449011941e-10,2.973823807143e-08
CENPK1137D_3503,-1.19969488235785,11.0101475759622,2.39238092384945e-10,3.56464757653568e-08
CENPK1137D_3292,2.02014014714342,2.94796341083976,3.26811020294709e-10,4.73787652124546e-08
CENPK1137D_1642,-3.753510946614,8.02990262269261,4.3362700919182e-10,6.12098757185506e-08
CENPK1137D_5334,-1.40168898725649,9.77474822870586,4.78747769541379e-10,6.58462316876912e-08
CENPK1137D_442,-0.925001480965076,11.1986243721063,5.10016777285346e-10,6.67743101257398e-08
CENPK1137D_2195,0.843272102522226,5.22529721288987,5.1039275077467e-10,6.67743101257398e-08
CENPK1137D_3459,-0.88824711735359,8.40516582502627,5.86412542319534e-10,7.48932589762376e-08
CENPK1137D_5119,-1.07109662976257,4.8009035997986,1.10652026385717e-09,1.38031969658833e-07
CENPK1137D_3027,-1.43605767186756,11.3807948930123,1.23633493923748e-09,1.49981401425849e-07
CENPK1137D_2605,1.11088439736696,7.77265059877545,1.25823323343833e-09,1.49981401425849e-07
CENPK1137D_5408,1.49415808927114,4.91470381833452,1.55528490803685e-09,1.81359744493688e-07
CENPK1137D_2393,1.94320012133432,1.85433810072655,3.07031926086983e-09,3.50408351389484e-07
CENPK1137D_5214,-1.08165984731341,7.27028827075296,3.13641927153143e-09,3.50494853593638e-07
CENPK1137D_2568,-1.22159316715979,8.0448244697083,3.25162089760145e-09,3.55952948872126e-07
CENPK1137D_3402,-1.04782196815203,6.2508452495129,3.62280377864822e-09,3.87775035729213e-07
CENPK1137D_91,-1.03715039543981,8.34977720826555,3.68689910928222e-09,3.87775035729213e-07
CENPK1137D_2456,-1.02640335402493,7.794609184061,4.18118298691688e-09,4.31305106573503e-07
CENPK1137D_3861,1.33207418103112,3.10419453820791,5.48704762918309e-09,5.55330631753549e-07
CENPK1137D_3412,0.979890732086575,6.6146628614214,5.68200982511649e-09,5.64412975961571e-07
CENPK1137D_723,-1.04539050314791,9.87548735701312,7.97935767044144e-09,7.78204991713598e-07
CENPK1137D_2567,-1.25355296039816,6.964381382362,8.59547816525735e-09,8.13096429115883e-07
CENPK1137D_57,-0.892949117271705,6.73965787271147,8.64028643915089e-09,8.13096429115883e-07
CENPK1137D_3615,-1.01317098020402,7.84839646313677,9.11162734690404e-09,8.28385916759208e-07
CENPK1137D_1024,1.16577598848325,3.63463584962647,9.70452687995248e-09,8.67584703067752e-07
CENPK1137D_1111,1.00939275116164,6.98798819060196,1.38224451271643e-08,1.19586444616305e-06
