genes,logFC,logCPM,PValue,FDR
YDL218W,-7.64302415473591,6.86279449480536,4.51642155233038e-254,2.59694239258997e-250
YNL117W,-5.98941944442994,6.82057832491892,3.06720080412124e-230,8.81820231184856e-227
YMR303C,-10.1404893002588,11.0853461263043,2.17067681822477e-224,4.16046390159749e-221
YBR117C,-6.40015364535897,7.63071043105173,4.10302683921748e-196,5.89810108137513e-193
YDR046C,6.20444531026615,6.87274247337549,4.15126114026909e-191,4.77395031130945e-188
YLR174W,-5.95487655931545,8.95781409354927,7.58422336534332e-191,7.26821405845401e-188
YOR348C,-6.77540481089045,7.93131506405771,1.78046386870863e-185,1.46252389215351e-182
YOR161C,-5.72183186635316,6.57501397827843,2.75631983718576e-163,1.98110488297726e-160
YNL194C,-4.81661975076078,6.68063898245979,2.56196226459349e-153,1.6368092246014e-150
YOR010C,4.36447570021638,6.13037857809204,3.10790169589854e-152,1.78704347514166e-149
YPR192W,-6.08739245087698,5.69488717399818,4.68924863494866e-152,2.4511981500868e-149
YLR413W,4.62881949244555,8.27891233340274,3.10147327802942e-149,1.4861226123891e-146
YMR175W,-6.17083356146181,9.05129298796125,1.86993016861162e-147,8.27084497655139e-145
YKL107W,-5.34007607955544,5.80461182197391,1.25806926512228e-142,5.16707019603792e-140
YKL217W,-4.71059423919419,11.2547822045943,8.65635393060548e-132,3.3182690067321e-129
YER053C-A,-5.79240916997698,7.55026448709531,1.5679709237317e-131,5.63489550716081e-129
YGR067C,-4.26968182468388,7.36552202381796,3.61972846849105e-125,1.22431992316609e-122
YPR151C,-4.78133582888604,6.93571402785852,8.75292568661426e-117,2.796073483224e-114
YGR256W,-4.35889224838387,8.03689382793459,2.41512321740707e-116,7.3089255263635e-114
YNL195C,-4.48339673863187,6.68897453603466,3.87780344117968e-115,1.11486848933916e-112
YDL222C,-4.65018244327463,7.38776785157247,8.7775183652923e-112,2.40336812383003e-109
YAL061W,-3.18022438789369,7.10133337252053,8.97470299396452e-111,2.34566100978618e-108
YPL265W,5.32231013747307,8.14590725442038,2.18865006812127e-108,5.47162517030319e-106
YDR070C,-4.15435991100997,8.3707643047456,1.1067936230733e-107,2.65169305527979e-105
YMR118C,-6.13288544147669,6.33866526037679,2.2358377885204e-106,5.14242691359692e-104
YKR053C,3.57644399604679,7.0393241844548,2.4357195505409e-103,5.38668746754238e-101
YPL036W,-5.10713930492285,8.20407655496034,6.71901154120569e-103,1.43090060599751e-100
YOL151W,-4.36725643467953,6.74234065772068,8.67001819550158e-102,1.78045016514765e-99
YBL075C,-4.07174679982823,10.1122990768902,4.0582801693887e-101,8.04658999102932e-99
YFL014W,-4.84812738146981,11.2040856498922,3.09640473398442e-99,5.9347757401368e-97
YPL223C,-6.86784897856606,10.0968018970175,9.67454554687001e-97,1.79447215788718e-94
YGR248W,-4.11265357518418,6.44775642834121,1.21072386774989e-95,2.17551944986308e-93
YKL163W,-3.45323784134039,7.8066710358832,2.21181097974165e-95,3.85391307076197e-93
YOL084W,-3.85813807397113,6.89270529400094,6.23267319342505e-94,1.05405502535865e-91
YMR107W,-5.71329103246469,10.047150249669,6.84669419806001e-94,1.12481404682415e-91
YHL024W,-3.01377868479717,7.70108190006684,4.40922871137683e-92,7.04251808067132e-90
YNL202W,-2.66729160438612,7.21556376965206,1.88817260531478e-90,2.93432229204324e-88
YOL052C-A,-4.56988483740164,9.81797880150004,2.49349713317432e-90,3.77305487256641e-88
YLR377C,-3.9933391509845,5.70698011450891,4.67559314799018e-89,6.89350271819065e-87
YOR011W,3.40368102576893,8.11902037726252,1.11675159532703e-87,1.6053304182826e-85
YKR009C,-3.40117222799994,9.03592114736877,1.17043340077159e-87,1.64146147669187e-85
YHR137W,-6.37351227857689,7.36306763871318,5.07933144999868e-87,6.95384662797439e-85
YDR508C,3.15050447209578,8.23591263581255,1.31170846701136e-86,1.75402876402681e-84
YNL237W,-4.16884186213488,5.39310422872874,4.51037396066077e-83,5.89423869859078e-81
YCL048W-A,-4.70144910883091,5.95823323046933,1.2027252086956e-81,1.53681554444437e-79
YGR236C,-5.56945174891619,6.94734558392925,1.33076349157378e-79,1.66345436446723e-77
YBR230C,-2.81110852439486,8.33747554352685,1.3046812604628e-78,1.59615260588534e-76
YBL043W,-2.39849900449517,6.78452197141572,1.13572909396016e-77,1.36050881047311e-75
YJL089W,-3.58407298643737,5.75016651933433,2.02653842152715e-77,2.37808080077165e-75
YPR006C,-3.56493747412928,7.86175986368555,4.65638742806451e-76,5.35484554227418e-74
YJR095W,-5.12221544447394,8.15685005403722,2.13594653269355e-74,2.40817501235058e-72
YDR044W,3.27284048076199,9.10292252001986,6.91001423628023e-72,7.64088112665602e-70
YPR149W,-3.6196692447143,10.5475339096705,4.372512652963e-71,4.74376372727118e-69
YPR001W,-2.52916677248825,7.79085309308793,6.45992475287643e-71,6.87862357945175e-69
YOR092W,2.74099889733844,7.66089970829536,1.28126997639889e-69,1.33950952078066e-67
YER065C,-3.9443200081681,8.543252209011,1.39915673664831e-69,1.43663414923711e-67
YGR043C,-4.29267416266044,8.1350938826173,2.28885611978001e-68,2.30893380504124e-66
YHR087W,-3.8771870289172,7.10947926918529,2.92151561492295e-68,2.89633013548395e-66
YML128C,-3.65350700667091,9.8544451963117,5.80326355243012e-68,5.65572295363952e-66
YHR096C,-6.02856659648379,9.58784164458117,8.96010522376238e-68,8.58676750610561e-66
YDR222W,-4.66641637144373,4.17202657658905,1.76347350068518e-67,1.65204489167793e-65
YKL065W-A,-4.0351843978656,4.93342782007265,1.78133536146142e-67,1.65204489167793e-65
YGL196W,-2.49276308826773,6.67221618040964,1.09191066346818e-66,9.96585129355878e-65
YMR169C,-3.98017241667958,6.15181450615193,2.70398463014341e-66,2.42936119114447e-64
YER103W,-2.74804951338927,8.47492369943108,1.90495538985279e-65,1.68515284486977e-63
YBR072W,-6.7356034751371,12.4225293037962,2.85980652157203e-65,2.49149810591503e-63
YGL162W,2.91631323187534,6.07504237881615,7.31741862593923e-65,6.27987419390307e-63
YMR319C,3.25490379934466,5.72110611223005,2.3622661569287e-64,1.99750447093236e-62
YKL093W,-2.19221349545307,6.98551846352275,6.49618369009546e-64,5.41348640841288e-62
YPL147W,-2.43092796140922,7.74041059650339,5.06634388108983e-63,4.16163961660951e-61
YGR087C,-2.40997460191998,6.2073513276313,6.40358369218378e-63,5.18600087747278e-61
YNL009W,-2.57403605891944,6.88220562448789,1.50634794188853e-62,1.20298620359153e-60
YLR307C-A,-5.3791079669449,6.69707288957901,1.0128060523844e-61,7.97758191946614e-60
YBR169C,-2.80577024654025,8.4744624442425,2.46172977052883e-60,1.91283056493795e-58
YJL045W,-3.50118353475588,6.62407225631524,2.65081915528762e-59,2.03229468572051e-57
YMR090W,-2.26435958556737,6.63504946625572,2.62372478068921e-57,1.98505493275829e-55
YGR052W,-2.86818886848791,5.27352880406949,3.58440553529408e-57,2.67666647116116e-55
YGL184C,-3.27746433017345,7.04496158867592,1.23327706374927e-56,9.0914655340491e-55
YBR047W,-3.68008453888089,5.12035420920506,1.79580556604731e-55,1.30707367149013e-53
YAL054C,-3.64965354379496,10.5882408428639,5.52221455257812e-55,3.96909170966552e-53
YBR046C,-2.8172970015105,7.40416382938044,5.00096525648105e-54,3.55006792898346e-52
YIL073C,-3.36553755810092,4.51327317540351,1.21764433521493e-53,8.53835966766567e-52
YBR201C-A,2.26212787250615,5.7735158065277,4.02516415345313e-53,2.78851733522355e-51
YOR374W,-2.99081176359976,12.3752770178072,1.31711189934034e-52,9.01594454905587e-51
YIL111W,3.285503916841,6.64844130270581,1.12946051865721e-51,7.64046821444582e-50
YNL160W,-4.00725563942818,9.20088490005372,2.29013032340573e-50,1.53119178599802e-48
YBR026C,-2.68869076513388,8.99929758098396,3.53655783150794e-50,2.33738017599662e-48
YFL052W,2.25548624911798,5.38768252010201,4.87350041225227e-50,3.18438947391484e-48
YCR005C,3.14270925041487,10.4743922852199,8.3445218182931e-50,5.39112364665004e-48
YKL187C,-3.38773311396016,8.46453399988856,2.49162398682344e-49,1.59187088047053e-47
YDR384C,-3.0890192486929,8.97338743075664,4.26321691001461e-49,2.69379090467956e-47
YMR034C,-3.02882544716948,4.96623384472512,8.82584605526104e-49,5.51615378453815e-47
YBR222C,-2.10107449575,7.87891211280411,9.81746518299052e-48,6.06993815077371e-46
YPR127W,-2.45845495536428,7.13373565183289,1.592418868757e-47,9.7408601014391e-46
YFL030W,-2.40350164191601,8.56422851720815,2.18989890871882e-47,1.32546512896139e-45
YDR256C,-5.15064436604774,9.65619537540311,2.51075313164701e-47,1.50383651114274e-45
YLR312C,-2.54608311832992,7.29252048245638,4.2942530694966e-47,2.54556238655726e-45
YEL071W,2.71824524650005,11.0642704600417,2.81735421668855e-46,1.65303946387338e-44
YHR210C,2.75500877065013,4.56031324736824,2.02911390344872e-45,1.17852575200304e-43
YJR027W,1.91709059458933,5.90390326737417,1.24922335206878e-44,7.1830342743955e-43
YPL186C,-2.70130979253412,8.28525222198432,2.20946544922967e-44,1.25786399337333e-42
YLR164W,-2.31318100564447,5.10675331760537,3.64647729907298e-44,2.05561220290879e-42
YIL160C,-2.37337329071833,7.69543018801262,4.41664175564284e-44,2.46560098009188e-42
YPL201C,-2.439650012053,7.69431476207644,7.35920803852685e-44,4.06879290591629e-42
YGR142W,-1.92695210673409,7.91104154778142,2.04214983274136e-43,1.11832014650122e-41
YEL041W,-2.47029853765304,7.46591161063202,2.17788837657862e-43,1.1814017137101e-41
YER096W,-3.80876174189348,5.3076773757828,2.81503298605469e-43,1.5127513710107e-41
YLR460C,2.48521761169653,5.16721622434629,7.20476823367627e-43,3.83587197626283e-41
YDR223W,-4.84063314879415,6.54854760501298,5.09713920980974e-42,2.68885784003725e-40
YLR178C,-2.40467290984927,7.82379705859668,7.86800352921951e-42,4.11282002663747e-40
YOL126C,-2.57435200498712,8.29532432860107,2.77943330592453e-41,1.43979653234829e-39
YIL155C,-2.17831073483855,9.805826028901,2.0870710921124e-40,1.07148739103985e-38
YOL155C,-5.86077795491323,9.31042315485578,2.95554149775135e-40,1.50392598336905e-38
YLR438W,-2.04195784668585,6.0693721185515,3.13462370763455e-40,1.58106020341217e-38
YLR070C,-1.96086670331473,5.65301807023415,4.74048193745508e-40,2.37024096872754e-38
YMR009W,-1.55902742167889,6.92900545690022,6.96865689656161e-40,3.43198056855377e-38
YGR088W,-4.08379516154942,7.18284010173676,6.98333437427463e-40,3.43198056855377e-38
YAR028W,2.27374558220486,4.72539563961957,1.33650155977291e-39,6.5126135327917e-38
YDL204W,-3.20458219381988,8.46242864729045,2.73994886159051e-39,1.32392487009626e-37
YER121W,-2.69583764397482,5.9938272461642,2.89309717886893e-39,1.38627573154136e-37
YPL222W,-2.93329165612277,7.04348000197916,3.25662268459703e-39,1.54756863111016e-37
YNL014W,-2.76277243337944,7.25204281866322,3.43641453598267e-39,1.6196216050738e-37
YCR061W,-2.40721466019868,4.56887955057315,7.41591300009699e-39,3.46678859760631e-37
YNL065W,3.42227226068919,6.79766105997274,1.05993633709558e-38,4.91502736959644e-37
YMR056C,-1.79304267463666,6.3054293171952,1.29460097943362e-38,5.95516450539467e-37
YBL029W,2.73665414827188,5.78300055641219,2.65895994485663e-38,1.21341426054965e-36
YOL014W,3.60195215590879,4.53042633551618,5.25509911549888e-38,2.37927715859201e-36
YML054C,-2.57055981317003,9.70949464838657,2.81800453410508e-37,1.26590047430502e-35
YFL055W,-1.74952821275803,5.44087971742091,4.7990074843074e-37,2.13909248331531e-35
YDL085W,-2.58308879628206,7.40920459435846,6.58921965335123e-37,2.91446253898227e-35
YOR173W,-1.93936934544403,7.97715213919079,9.10596574704105e-37,3.99689336225084e-35
YCR021C,-4.36508077545065,8.37956034823843,1.0362282879311e-36,4.5138732239423e-35
YCR010C,-7.63774290689811,8.62561032642942,1.14575258729854e-36,4.95344163681699e-35
YPR193C,-2.26185347618928,4.64947467084453,2.23700095575909e-36,9.59907126538415e-35
YGL263W,3.19148830673343,4.09113606274912,2.81169708552351e-36,1.19757468457483e-34
YKL096W-A,-2.11746057305461,10.3032171929312,3.5061270352272e-36,1.48236988621738e-34
YCL025C,2.28693317058204,6.79472439449856,3.54057758971944e-36,1.48600884240049e-34
YLR311C,-3.76441288397309,2.93538072998262,8.62112736643626e-36,3.59213640268178e-34
YJR096W,-2.94196951760863,7.36274708468724,1.21205527222998e-35,5.01389770886502e-34
YGR110W,-3.12985132589182,5.9258082222871,1.3840706129261e-35,5.68457573166079e-34
YHR139C,-6.4252262312118,7.47162348442133,1.48221225560643e-35,6.04448260265035e-34
YNR069C,-1.74266343585916,5.81540474667,1.64636764360131e-35,6.6666295427518e-34
