"protein","Gene","Group"
"P41816","YPL171C","GroupI"
"Q03558","YHR179W","GroupI"
"P00358","YJR009C","GroupIII"
"P00359","YGR192C","GroupIII"
"P00360","YJL052W","GroupIII"
"P02293","YDR224C","GroupIII"
"P02294","YBL002W","GroupIII"
"P04911","YDR225W","GroupIII"
"P04912","YBL003C","GroupIII"
"P05738","YGL147C","GroupIII"
"P06208","YNL104C","GroupIII"
"P0CX08","YEL070W","GroupIII"
"P0CX09","YNR073C","GroupIII"
"P21524","YER070W","GroupIII"
"P21672","YIL066C","GroupIII"
"P32835","YLR293C","GroupIII"
"P32836","YOR185C","GroupIII"
"P48570","YDL182W","GroupIII"
"P51401","YNL067W","GroupIII"
"Q12122","YDL131W","GroupIII"
"Q12166","YOR108W","GroupIII"
"O13516","YPL081W","GroupIV"
"O14455","YPL249C-A","GroupIV"
"P00890","YNR001C","GroupIV"
"P00924","YGR254W","GroupIV"
"P00925","YHR174W","GroupIV"
"P02407","YML024W","GroupIV"
"P04449","YGL031C","GroupIV"
"P04806","YFR053C","GroupIV"
"P04807","YGL253W","GroupIV"
"P05030","YGL008C","GroupIV"
"P05737","YGL076C","GroupIV"
"P05740","YKL180W","GroupIV"
"P05743","YLR344W","GroupIV"
"P05744","YPL143W","GroupIV"
"P05745","YMR194W","GroupIV"
"P05748","YLR029C","GroupIV"
"P05755","YBR189W","GroupIV"
"P06169","YLR044C","GroupIV"
"P06367","YCR031C","GroupIV"
"P07262","YOR375C","GroupIV"
"P08679","YCR005C","GroupIV"
"P0C0T4","YLR333C","GroupIV"
"P0C0W1","YJL190C","GroupIV"
"P0C0W9","YPR102C","GroupIV"
"P0C2H8","YDL075W","GroupIV"
"P0C2H9","YLR406C","GroupIV"
"P0CS90","YJR045C","GroupIV"
"P0CX23","YMR242C","GroupIV"
"P0CX24","YOR312C","GroupIV"
"P0CX27","YNL162W","GroupIV"
"P0CX28","YHR141C","GroupIV"
"P0CX29","YGR118W","GroupIV"
"P0CX30","YPR132W","GroupIV"
"P0CX35","YJR145C","GroupIV"
"P0CX36","YHR203C","GroupIV"
"P0CX37","YPL090C","GroupIV"
"P0CX38","YBR181C","GroupIV"
"P0CX39","YBL072C","GroupIV"
"P0CX40","YER102W","GroupIV"
"P0CX41","YBL087C","GroupIV"
"P0CX42","YER117W","GroupIV"
"P0CX43","YPL220W","GroupIV"
"P0CX44","YGL135W","GroupIV"
"P0CX45","YFR031C-A","GroupIV"
"P0CX46","YIL018W","GroupIV"
"P0CX47","YDR025W","GroupIV"
"P0CX48","YBR048W","GroupIV"
"P0CX49","YOL120C","GroupIV"
"P0CX50","YNL301C","GroupIV"
"P0CX51","YMR143W","GroupIV"
"P0CX52","YDL083C","GroupIV"
"P0CX53","YEL054C","GroupIV"
"P0CX54","YDR418W","GroupIV"
"P0CX55","YDR450W","GroupIV"
"P0CX56","YML026C","GroupIV"
"P0CX82","YBR084C-A","GroupIV"
"P0CX83","YBL027W","GroupIV"
"P0CX84","YDL191W","GroupIV"
"P0CX85","YDL136W","GroupIV"
"P0CY06","YCR040W","GroupIV"
"P0CY07","YCL066W","GroupIV"
"P10659","YLR180W","GroupIV"
"P10664","YBR031W","GroupIV"
"P11154","YGL062W","GroupIV"
"P11484","YDL229W","GroupIV"
"P14127","YDR447C","GroupIV"
"P16467","YLR134W","GroupIV"
"P16521","YLR249W","GroupIV"
"P17064","YER056C","GroupIV"
"P17076","YHL033C","GroupIV"
"P18238","YBR085W","GroupIV"
"P18239","YBL030C","GroupIV"
"P19358","YDR502C","GroupIV"
"P19657","YPL036W","GroupIV"
"P21826","YIR031C","GroupIV"
"P23248","YML063W","GroupIV"
"P23291","YHR135C","GroupIV"
"P23292","YNL154C","GroupIV"
"P23337","YFR015C","GroupIV"
"P23594","YDL134C","GroupIV"
"P23595","YDL188C","GroupIV"
"P24000","YGR148C","GroupIV"
"P25594","YCL069W","GroupIV"
"P25596","YCL073C","GroupIV"
"P26263","YGR087C","GroupIV"
"P27472","YLR258W","GroupIV"
"P28274","YBL039C","GroupIV"
"P29311","YER177W","GroupIV"
"P29453","YLL045C","GroupIV"
"P29509","YDR353W","GroupIV"
"P30952","YNL117W","GroupIV"
"P32327","YBR218C","GroupIV"
"P32356","YDR001C","GroupIV"
"P32589","YPL106C","GroupIV"
"P32590","YBR169C","GroupIV"
"P32600","YKL203C","GroupIV"
"P32660","YER166W","GroupIV"
"P32802","YLR083C","GroupIV"
"P32905","YGR214W","GroupIV"
"P33302","YOR153W","GroupIV"
"P33401","YKL127W","GroupIV"
"P33442","YLR441C","GroupIV"
"P34730","YDR099W","GroupIV"
"P35169","YJR066W","GroupIV"
"P35172","YBR001C","GroupIV"
"P36006","YKL129C","GroupIV"
"P36105","YKL006W","GroupIV"
"P36172","YKR105C","GroupIV"
"P36173","YKR106W","GroupIV"
"P37012","YMR105C","GroupIV"
"P38009","YMR120C","GroupIV"
"P38063","YBL068W","GroupIV"
"P38620","YER099C","GroupIV"
"P38627","YJR103W","GroupIV"
"P38720","YHR183W","GroupIV"
"P38754","YHL001W","GroupIV"
"P38816","YHR106W","GroupIV"
"P39516","YJL191W","GroupIV"
"P39708","YAL062W","GroupIV"
"P39987","YEL030W","GroupIV"
"P40054","YER081W","GroupIV"
"P40150","YNL209W","GroupIV"
"P40212","YMR142C","GroupIV"
"P40260","YGR121C","GroupIV"
"P40472","YIL123W","GroupIV"
"P40510","YIL074C","GroupIV"
"P41056","YOR234C","GroupIV"
"P42883","YNL332W","GroupIV"
"P43534","YFL058W","GroupIV"
"P43545","YFL059W","GroupIV"
"P46654","YLR048W","GroupIV"
"P46990","YJL177W","GroupIV"
"P47052","YJL045W","GroupIV"
"P47183","YJR156C","GroupIV"
"P49089","YPR145W","GroupIV"
"P49090","YGR124W","GroupIV"
"P49626","YDR012W","GroupIV"
"P51533","YOR328W","GroupIV"
"P53058","YGL258W","GroupIV"
"P53204","YGR010W","GroupIV"
"P53221","YGR034W","GroupIV"
"P53283","YGR138C","GroupIV"
"P53319","YGR256W","GroupIV"
"P53390","YPR138C","GroupIV"
"P53616","YNL066W","GroupIV"
"P53824","YNL333W","GroupIV"
"P53978","YNL014W","GroupIV"
"P54113","YLR028C","GroupIV"
"P54780","YMR121C","GroupIV"
"Q00711","YKL148C","GroupIV"
"Q04182","YDR406W","GroupIV"
"Q04439","YMR109W","GroupIV"
"Q04562","YDR107C","GroupIV"
"Q05998","YLR237W","GroupIV"
"Q06178","YLR328W","GroupIV"
"Q06451","YPR156C","GroupIV"
"Q06490","YPR121W","GroupIV"
"Q07748","YDL244W","GroupIV"
"Q08224","YOL055C","GroupIV"
"Q08485","YOR071C","GroupIV"
"Q08579","YOR192C","GroupIV"
"Q08910","YOR387C","GroupIV"
"Q08975","YPL258C","GroupIV"
"Q12119","YER060W-A","GroupIV"
"Q12213","YPL198W","GroupIV"
"Q12675","YDR093W","GroupIV"
"Q12690","YDL082W","GroupIV"
"Q3E757","YGR085C","GroupIV"
"Q3E792","YGR027C","GroupIV"
"Q3E7Y3","YLR367W","GroupIV"
"A0A0B7P3V8","YPL060C-A","GroupV"
"O13559","YLR466W","GroupV"
"P00330","YOL086C","GroupV"
"P00331","YMR303C","GroupV"
"P00635","YBR093C","GroupV"
"P02829","YPL240C","GroupV"
"P05739","YLR448W","GroupV"
"P07280","YOL121C","GroupV"
"P07281","YNL302C","GroupV"
"P09435","YBL075C","GroupV"
"P09733","YML085C","GroupV"
"P09734","YML124C","GroupV"
"P0C2H6","YHR010W","GroupV"
"P0C2H7","YDR471W","GroupV"
"P0CD99","YDL247W","GroupV"
"P0CE00","YJR160C","GroupV"
"P0CE85","YMR325W","GroupV"
"P0CE86","YOR394W","GroupV"
"P0CE87","YPL282C","GroupV"
"P0CE88","YJL223C","GroupV"
"P0CE89","YIL176C","GroupV"
"P0CE90","YNR076W","GroupV"
"P0CE91","YLL064C","GroupV"
"P0CE92","YAL068C","GroupV"
"P0CE93","YGL261C","GroupV"
"P0CE96","YLR156W","GroupV"
"P0CE97","YLR159W","GroupV"
"P0CE98","YLR161W","GroupV"
"P0CH08","YIL148W","GroupV"
"P0CH09","YKR094C","GroupV"
"P0CH63","YFL061W","GroupV"
"P0CH64","YNL335W","GroupV"
"P0CW40","YIL172C","GroupV"
"P0CW41","YJL221C","GroupV"
"P0CX10","YOR393W","GroupV"
"P0CX11","YPL281C","GroupV"
"P0CX12","YBR302C","GroupV"
"P0CX13","YML132W","GroupV"
"P0CX14","YGR296W","GroupV"
"P0CX15","YPL283C","GroupV"
"P0CX16","YEL076C-A","GroupV"
"P0CX17","YLR464W","GroupV"
"P0CX18","YAR066W","GroupV"
"P0CX19","YHR214W","GroupV"
"P0CX20","YDR545W","GroupV"
"P0CX21","YLR467W","GroupV"
"P0CX22","YOR396W","GroupV"
"P0CX25","YPR043W","GroupV"
"P0CX26","YJR094W-A","GroupV"
"P0CX31","YER074W","GroupV"
"P0CX32","YIL069C","GroupV"
"P0CX33","YLR287C-A","GroupV"
"P0CX34","YOR182C","GroupV"
"P0CX68","YLR035C-B","GroupV"
"P0CX77","YLR157C","GroupV"
"P0CX78","YLR158C","GroupV"
"P0CX79","YLR160C","GroupV"
"P0CX80","YHR053C","GroupV"
"P0CX81","YHR055C","GroupV"
"P0CX94","YER190C-B","GroupV"
"P0CX95","YEL077W-A","GroupV"
"P0CX96","YGR296C-B","GroupV"
"P0CX97","YPL283W-B","GroupV"
"P0CX98","YPR204C-A","GroupV"
"P0CX99","YFL068W","GroupV"
"P0CY00","YLL066W-A","GroupV"
"P0CY01","YLL067W-A","GroupV"
"P0CY02","YLR154C-H","GroupV"
"P0CY03","YLR156C-A","GroupV"
"P0CY04","YLR157C-C","GroupV"
"P0CY05","YLR159C-A","GroupV"
"P0CY08","YCR039C","GroupV"
"P0CY09","YCL067C","GroupV"
"P0CZ17","YLR155C","GroupV"
"P10591","YAL005C","GroupV"
"P10592","YLL024C","GroupV"
"P11076","YDL192W","GroupV"
"P13587","YDR040C","GroupV"
"P15108","YMR186W","GroupV"
"P15731","YBR082C","GroupV"
"P15732","YDR059C","GroupV"
"P19146","YDL137W","GroupV"
"P19211","YJR047C","GroupV"
"P22202","YER103W","GroupV"
"P23301","YEL034W","GroupV"
"P23585","YMR011W","GroupV"
"P24031","YBR092C","GroupV"
"P25608","YCR102C","GroupV"
"P25610","YCR104W","GroupV"
"P26784","YIL133C","GroupV"
"P26785","YNL069C","GroupV"
"P26786","YOR096W","GroupV"
"P32319","YBL017C","GroupV"
"P32465","YHR094C","GroupV"
"P32466","YDR345C","GroupV"
"P32467","YHR092C","GroupV"
"P32568","YDR011W","GroupV"
"P32612","YEL049W","GroupV"
"P33890","YOR010C","GroupV"
"P34760","YML028W","GroupV"
"P35497","YJR159W","GroupV"
"P35842","YAR071W","GroupV"
"P35994","YKL224C","GroupV"
"P36033","YKL220C","GroupV"
"P38155","YBR301W","GroupV"
"P38158","YBR299W","GroupV"
"P38631","YLR342W","GroupV"
"P38693","YHR215W","GroupV"
"P38697","YHR216W","GroupV"
"P38721","YHL050C","GroupV"
"P38725","YHL046C","GroupV"
"P38773","YHR043C","GroupV"
"P38774","YHR044C","GroupV"
"P38789","YHR066W","GroupV"
"P38899","YHR218W","GroupV"
"P38900","YHR219W","GroupV"
"P39002","YIL009W","GroupV"
"P39003","YDR343C","GroupV"
"P39004","YDR342C","GroupV"
"P39552","YAR033W","GroupV"
"P39712","YAL063C","GroupV"
"P39924","YEL069C","GroupV"
"P39938","YGL189C","GroupV"
"P39939","YER131W","GroupV"
"P39972","YEL075C","GroupV"
"P40104","YER189W","GroupV"
"P40105","YER190W","GroupV"
"P40106","YER062C","GroupV"
"P40434","YIL177C","GroupV"
"P40438","YIL173W","GroupV"
"P40442","YIL169C","GroupV"
"P40525","YIL052C","GroupV"
"P40585","YIR041W","GroupV"
"P40885","YJL219W","GroupV"
"P40889","YJL225C","GroupV"
"P40890","YJL222W","GroupV"
"P40989","YGR032W","GroupV"
"P41277","YIL053W","GroupV"
"P42222","YMR323W","GroupV"
"P42884","YNL331C","GroupV"
"P43539","YFL065C","GroupV"
"P43542","YFL062W","GroupV"
"P43544","YFL060C","GroupV"
"P43581","YFL011W","GroupV"
"P46784","YMR230W","GroupV"
"P47182","YJR155W","GroupV"
"P47185","YJR158W","GroupV"
"P47187","YJR161C","GroupV"
"P47771","YMR170C","GroupV"
"P47912","YMR246W","GroupV"
"P48164","YNL096C","GroupV"
"P50094","YML056C","GroupV"
"P50095","YLR432W","GroupV"
"P53051","YGR287C","GroupV"
"P53176","YGL051W","GroupV"
"P53341","YGR292W","GroupV"
"P53343","YGR294W","GroupV"
"P53344","YGR295C","GroupV"
"P53427","YLR461W","GroupV"
"P53631","YNR072W","GroupV"
"P53751","YNR065C","GroupV"
"P53756","YNR070W","GroupV"
"P53819","YNL339C","GroupV"
"P53822","YNL336W","GroupV"
"P53823","YNL334C","GroupV"
"P53963","YNL034W","GroupV"
"P53964","YNL033W","GroupV"
"P53975","YNL019C","GroupV"
"P53976","YNL018C","GroupV"
"P54007","YLR460C","GroupV"
"P54114","YMR169C","GroupV"
"P54854","YDL245C","GroupV"
"P54862","YOL156W","GroupV"
"P87262","YER056C-A","GroupV"
"Q01896","YDR039C","GroupV"
"Q02326","YML073C","GroupV"
"Q02753","YBR191W","GroupV"
"Q03050","YDR542W","GroupV"
"Q03099","YML133C","GroupV"
"Q04120","YDR453C","GroupV"
"Q04902","YMR322C","GroupV"
"Q05164","YOL155C","GroupV"
"Q07747","YDL243C","GroupV"
"Q07786","YDL246C","GroupV"
"Q07788","YDL248W","GroupV"
"Q07888","YLL067C","GroupV"
"Q07987","YLR037C","GroupV"
"Q08295","YOL157C","GroupV"
"Q08322","YOL161C","GroupV"
"Q08745","YOR293W","GroupV"
"Q08905","YOR381W","GroupV"
"Q08912","YOR389W","GroupV"
"Q08913","YOR390W","GroupV"
