genes,logFC,logCPM,PValue,FDR
YHR050W-A,2.18331744135301,6.85061803045611,1.34019939547119e-110,7.73161031247328e-107
YBL003C,-1.82311701750727,7.36023052399865,8.28111482176642e-94,2.38868757033852e-90
YKL066W,2.11921136718892,6.7377681142304,2.63940393546812e-86,5.07557376790519e-83
YNL067W,-1.94945389196182,8.5458237781718,4.05094506468838e-75,5.84247551954681e-72
YLL050C,-1.57548717013561,7.95822453856111,3.12457765593998e-70,3.60513769942355e-67
YKR057W,-1.74751135378763,7.59008662421101,1.72506531063802e-66,1.65865029617846e-63
YNR021W,-1.44807511985046,6.83071077682954,1.61798607149106e-62,1.33345166377599e-59
YLR264W,-1.65798011718738,6.39106761762948,9.61933193309665e-62,6.93674074025432e-59
YOL077W-A,1.792505887927,9.4237981888095,1.66479697677434e-58,1.06713486211235e-55
YNL162W,-1.60212455374161,8.23518940258574,5.04534092222622e-55,2.91065717803231e-52
YPL218W,-1.42820991212122,7.5103506955576,2.39740342738283e-54,1.25732912477923e-51
YDL184C,-1.48967409722478,8.1796571168836,4.15681711120045e-53,1.99838982620961e-50
YCL044C,1.29245518794381,6.70916942568663,4.6637452451353e-52,2.06962663993735e-49
YCR024C-B,-1.60325351302212,7.94184941858862,4.99142615676334e-50,2.05682410702627e-47
YLR333C,-1.72544926054855,7.18586134094322,6.73322408836887e-50,2.58959798438667e-47
YDR163W,1.48660775426685,7.31645343118026,1.00620885255331e-49,3.62801179398753e-47
YLR438C-A,1.33984572342366,7.50743938343067,1.07738910474656e-48,3.65615161487231e-46
YER074W,-1.59298748328251,8.45656646109444,7.60459704216198e-48,2.43727335201292e-45
YDL192W,-1.27188649974267,7.88047707501949,1.46531750603428e-47,4.4491666801641e-45
YMR256C,-1.3815003977624,7.90751315757773,3.93966811918322e-47,1.1363972689784e-44
YPR102C,-1.39911505213441,7.88794616313498,5.3531068589947e-46,1.45868491306196e-43
YER009W,-1.32482296561199,7.6264879957599,5.56267430878196e-46,1.45868491306196e-43
YGL025C,1.11968007802935,6.73173226021782,2.07718370389967e-45,5.2101186033901e-43
YGL188C,-1.32284604086888,5.89676770382467,7.87738174385185e-45,1.89352563667839e-42
YOR096W,-1.58402331306889,8.65068613132813,9.21170608582416e-45,2.12569329636478e-42
YER102W,-1.44736809561948,7.77567093421719,2.58489628218728e-44,5.73548717382247e-42
YNL309W,1.3484041725741,6.03516878462964,2.85415591535269e-44,6.09837980580359e-42
YGR169C-A,1.402177928644,7.27781220204482,2.9654941568912e-44,6.1099770682519e-42
YDL012C,1.17419302645446,6.44997863345166,7.95232367530736e-44,1.58196397527063e-41
YMR043W,1.31616381195655,7.54639015910625,1.88306675910634e-43,3.6211373777615e-41
YNL259C,-1.60933129190531,5.30059984328921,2.2486974472644e-43,4.18475341073172e-41
YGL147C,-1.84790354691787,7.83361959571854,5.41250581684601e-43,9.7577331429327e-41
YLL014W,-1.45846479627754,5.54057939833483,4.13800890079769e-42,7.23399192384904e-40
YNL178W,-1.5739528842262,9.36899688206129,5.97635807003169e-42,1.01404734429449e-39
YML024W,-1.48903267397237,8.63835206852159,2.1975682539765e-41,3.62222035919726e-39
YOR369C,-1.70483379419391,9.2225791741204,1.94237084985775e-40,3.11264928689705e-38
YGL044C,1.1146252443527,6.80226577738241,6.321301729e-40,9.85610531745973e-38
YOR089C,1.34298955626446,8.40519529091067,1.20670316493421e-39,1.8319659364488e-37
YDL061C,-1.15913807025,7.87777519229474,4.73209677653607e-39,6.99986315482989e-37
YDR002W,-1.48736599850543,7.58863034415655,5.8675232585444e-39,8.46243541963567e-37
YLR390W,1.23121851652531,5.8761833276683,7.72801746367134e-39,1.0873886036078e-36
YDL161W,1.29665686244078,8.20583078912438,1.27303645934846e-38,1.74860650809078e-36
YJR135W-A,-1.47227726258231,5.50663107287243,2.17056618955199e-38,2.88948066650511e-36
YKL122C,1.13064562904229,7.67499338619886,2.20379874027084e-38,2.88948066650511e-36
YLR206W,1.34339345096751,8.48982683417884,3.24806273722067e-38,4.1640164291169e-36
YML078W,-1.16853642089536,6.60817913419103,5.49594640764916e-38,6.89263365776696e-36
YBR258C,1.43539702755534,5.24769764805429,5.46946728606801e-37,6.71348016453753e-35
YER159C,1.4692790890254,8.99027319824121,7.84981101541179e-37,9.43449161414804e-35
YGL030W,-1.54279049041186,8.6944295048761,1.10892661356123e-36,1.30559135380301e-34
YDR513W,-1.30059730669806,7.57082116735551,1.76397769397985e-36,2.03527746331395e-34
YLR050C,-1.25898392112217,5.78048836112081,1.96638138539406e-36,2.22432435536046e-34
YNL010W,-1.38153684437712,6.27462905213746,5.21847147010505e-36,5.78949267519924e-34
YLR262C-A,-1.37446144948881,6.64163705548157,6.44833663573505e-36,7.01895359463312e-34
YCR031C,-1.38434682401298,8.59385379616259,9.37536429709287e-36,1.00160141907276e-33
YDL083C,-1.34108018986658,8.37549868501525,1.24667716304315e-35,1.30765100974472e-33
YLR337C,1.15575577229515,7.25655035408109,1.50756523788201e-35,1.55306140309667e-33
YJL104W,1.04098977456433,7.1626832099095,2.70550103998933e-35,2.73825184205236e-33
YHR191C,1.17043744538287,5.38343748813715,1.29871309291124e-34,1.29177169534568e-32
YLR101C,3.38844657526892,2.6972548053438,1.36818582833422e-34,1.33780746502714e-32
YOR133W,-1.26475439715944,7.53499284084504,1.44771879668003e-34,1.39198162300785e-32
YGR282C,-1.31589476138049,9.97298371828187,1.51099054341795e-34,1.42900072868494e-32
YBL051C,1.07450622523929,7.30561745812497,2.27394193007873e-34,2.11586628945551e-32
YDR447C,-1.43088135987931,8.38318811834849,2.86915728475675e-34,2.62732831361296e-32
YCR034W,-1.26366295503352,6.6315623437978,4.01558111185668e-34,3.61966991160956e-32
YBL092W,-1.34324791760356,9.36660395367053,6.84627193115419e-34,6.07632965705054e-32
YDR450W,-1.32369941588513,8.88183680434602,7.56389038657386e-34,6.61152782426434e-32
YKL077W,-1.09306674190321,6.80971027914933,6.74033739535815e-33,5.8037323035554e-31
YFL045C,-1.25852767182512,7.96781975465094,7.11272479037348e-33,6.03431019348009e-31
YKL008C,-1.16157697309637,5.29934224740931,1.28416030647007e-32,1.07366968232258e-30
YDL169C,1.1768579080269,7.12889324595672,1.11000711830419e-31,9.14804437928123e-30
YDR468C,1.00373765006263,7.36962619761727,1.19064256844451e-31,9.67439010895265e-30
YGL076C,-1.42286131057005,8.89591159142297,2.2449803533748e-31,1.79879050814156e-29
YLR200W,1.048023270982,6.00949262865758,2.30538432174894e-31,1.82188522632461e-29
YLR301W,-1.23667515750569,6.42588422815235,2.86614363073198e-31,2.23443008185038e-29
YPL163C,1.13299404850583,7.63362531231063,2.93712290505489e-31,2.25923493856822e-29
YHR064C,-1.12668210927734,8.01064177696303,5.04041259166691e-31,3.82607108438505e-29
YDL084W,-1.0534775627226,8.38632680386797,6.07632413698606e-31,4.55250830471072e-29
YBR233W-A,1.08898115174941,6.01588639709761,7.24325887774524e-31,5.35722570073235e-29
YPR132W,-1.30575843177181,9.15551997414346,8.12125380260798e-31,5.93057128952474e-29
YDL133C-A,-1.34696368547951,8.6377361322301,1.56413475384057e-30,1.12793667436328e-28
YLR038C,-1.07118290084952,8.14519697292615,2.14730170501774e-30,1.52018653845519e-28
YGR085C,-1.16023320432198,8.18974127249799,2.16077823112022e-30,1.52018653845519e-28
YOR302W,2.0883953335468,8.64082807222119,2.36159952944962e-30,1.64145393799938e-28
YDR385W,-1.23508512823546,8.57822806358522,2.42916933986965e-30,1.66831880020333e-28
YOR064C,0.929708949908029,6.51613992684031,2.78284027056644e-30,1.88873006128209e-28
YHR051W,-1.12287021100037,8.16208340737176,2.87545821815715e-30,1.92889749541262e-28
YPR080W,-1.24894658159545,9.69876453653248,3.50825633513576e-30,2.32633687326416e-28
YAL013W,1.18348412712899,6.95017513157412,3.73281918881188e-30,2.44711748866542e-28
YPL090C,-1.31788961854271,8.5683572473501,4.07799452388026e-30,2.64336521441183e-28
YGR209C,-1.1468331262386,7.18266773686307,4.65141309446634e-30,2.98155579355293e-28
YDR428C,-1.25119990675692,4.93986170716394,5.18247853054504e-30,3.28546358711146e-28
YMR182C,1.51880593025118,4.80363365664611,5.29169047972715e-30,3.3182350410376e-28
YDR050C,-1.351263876254,9.90626878537777,6.95551174816213e-30,4.31466099732767e-28
YBR109C,-0.989428905888453,7.82084751185648,8.80380122536237e-30,5.40309885841654e-28
YML064C,0.932195451931238,6.11625662959334,1.66757247720506e-29,1.0126553285259e-27
YDR363W-A,1.19130897023924,8.61799498435767,2.11344114858474e-29,1.27004604022764e-27
YNL024C-A,-1.10620800274533,5.79073665661186,2.34311440626519e-29,1.39354917626226e-27
YKL056C,-1.4503164257046,9.13469128590851,2.61730333074492e-29,1.54073703214974e-27
YGL077C,-1.13375528699432,7.74116661841108,4.15457064764136e-29,2.42098162285283e-27
YLR075W,-1.20328061859482,10.73569003734,6.0105605804312e-29,3.46749239885076e-27
YFR044C,-0.966237172992509,7.17884036161448,6.58756068269222e-29,3.76273639390608e-27
YDR286C,-1.3594824186943,4.69144635362887,6.75673177529115e-29,3.82152800114261e-27
YNR020C,0.876902347248738,6.25895370608402,9.13661751127688e-29,5.11739285655887e-27
YGR215W,1.0178582981885,7.13937328718139,1.0956432463768e-28,6.0776595080267e-27
YDR068W,0.958938418894902,7.51184372873214,4.80701628253293e-28,2.64111208894595e-26
YML026C,-1.27719185945118,9.08091186085538,1.08714274237525e-27,5.91672309505924e-26
YCL056C,0.993872209424373,6.21827039518073,1.1576603207956e-27,6.24162840249517e-26
YPL234C,-0.999070254079803,6.04773850066366,1.78565766661529e-27,9.53838803583667e-26
YPL211W,-1.62131657395769,5.71948374296617,1.87525980706599e-27,9.92511360271899e-26
YOR329C,1.00429630375291,7.60624931143792,1.97666820743403e-27,1.03667262624427e-25
YDL075W,-1.26350048617602,8.75358818218137,2.19150924753848e-27,1.13899250892338e-25
YHR021C,-1.32497416004549,8.24456534753254,2.82604812276085e-27,1.45566710894709e-25
YMR311C,1.09499344193535,8.75560143453803,5.82926154606374e-27,2.97601857161431e-25
YML001W,-1.11497082892993,6.5731317313145,6.46826795665989e-27,3.27328402122552e-25
YDR207C,0.941308496099875,6.9440256757649,6.74922426186211e-27,3.38493631833992e-25
YPR093C,0.949514917730543,5.86703140765962,6.80625087411043e-27,3.38493631833992e-25
YOR181W,1.11784446301048,6.04006155263365,7.21120282634981e-27,3.55567770130017e-25
YOR327C,-0.994369826056717,7.1205283033244,1.12598633287833e-26,5.50492809692806e-25
YOR372C,0.95243519482172,7.1555784099097,1.16483718617383e-26,5.64701321599733e-25
YOR140W,0.872775088822155,6.39333305375585,1.19294247513111e-26,5.73507094919282e-25
YGL115W,-0.862767631286505,6.54135773895249,1.36406668331895e-26,6.50355429427024e-25
YDR382W,-1.15514870886268,8.74519982954275,1.37562063408596e-26,6.5048815065917e-25
YIL018W,-1.27588323152732,9.36862731250806,1.74449981164317e-26,8.18192055125449e-25
YHR083W,0.852373803449371,6.56785227436169,1.75863780266174e-26,8.18192055125449e-25
YOR037W,0.92728832501182,6.77647202046697,3.01778799997488e-26,1.39276951774841e-24
YJL023C,-1.04753212022166,5.45342397080244,3.19566755178045e-26,1.45805993436593e-24
YPL178W,-0.88622887573476,6.3585056371311,3.20980432769064e-26,1.45805993436593e-24
YBR106W,-1.24219175718693,7.84967697182557,3.28918596191965e-26,1.48244639174332e-24
YDL015C,-0.950862227590967,7.47110089752703,3.80928977621319e-26,1.70354982317627e-24
YPL221W,-1.00693709764635,7.38718400285179,4.11534240506968e-26,1.8140901531645e-24
YNL148C,1.03585685083306,5.65102706293668,4.11935881547148e-26,1.8140901531645e-24
YCL038C,-1.07189829053947,5.85261796866927,6.09530209418558e-26,2.6639240743452e-24
YJR139C,-0.968383401772987,8.19372520708917,7.65512768624326e-26,3.32048358059679e-24
YCR075W-A,-1.52973721108326,4.08269876023945,8.73702203476431e-26,3.76148359093696e-24
YNL306W,0.962737494317505,8.15572384342257,9.32871312351947e-26,3.98647007478399e-24
YOL108C,0.907808285824282,6.39141637772012,1.51751023610346e-25,6.43714452358888e-24
YIR019C,1.35691943823002,4.76914379036507,1.71146781414514e-25,7.20690351810462e-24
YLR052W,1.03147027899611,6.61581905181356,2.23800028855794e-25,9.3558142497759e-24
YGL215W,0.960883794999356,8.32328162699681,2.38492883379213e-25,9.84816973767412e-24
YDL193W,-0.834425469870159,6.09682026347591,2.38991811973371e-25,9.84816973767412e-24
YBL029C-A,0.913602147750808,6.94662618759125,2.45526946819286e-25,1.00457089092231e-23
YHR141C,-1.04908945989429,8.70719437736449,2.60973732699261e-25,1.06025173517045e-23
YOR194C,0.979200469458354,7.88523158544869,2.76573386352278e-25,1.11577053557083e-23
YMR070W,1.06844219880473,6.91958507193831,3.83359383740878e-25,1.53583353111189e-23
YGR174C,1.35840960475369,8.1727135299789,3.93795135112628e-25,1.56676147204466e-23
YHR201C,0.910096893914226,7.29322691073325,4.09607674560352e-25,1.6185114209169e-23
YCR023C,-1.05567969227974,5.62182788433683,4.48513778943411e-25,1.7601877487922e-23
YDR473C,0.821292058622,6.60833963674389,8.11958653770064e-25,3.16499288756723e-23
YBR279W,0.896910721300176,7.81957372816709,8.48861682609392e-25,3.28663291743193e-23
YIL154C,0.932021009427419,6.53703086192771,1.04364029387445e-24,4.01384057024114e-23
YOL005C,0.905636012907385,6.99537385140861,1.07248650145847e-24,4.09746664034035e-23
YDL029W,-0.91037305099086,7.6747803299525,1.55741318695044e-24,5.9109978128402e-23
YJR141W,-1.19000412091317,4.98097621659526,1.80607110155294e-24,6.80995044762022e-23
YOL093W,1.04894931774439,6.43224150952525,1.92315646374703e-24,7.20434392166013e-23
YPL066W,0.850044443722222,6.81805975131086,2.39246098643024e-24,8.90458543917166e-23
YHR039C-A,-0.907816706093103,6.95719231820677,2.57092115276301e-24,9.50746418608319e-23
YNL190W,1.18044716399891,9.31816540435668,2.65748775770707e-24,9.76499800905228e-23
YBR016W,1.03173738843309,7.54107565307377,3.80937927843571e-24,1.3909056365377e-22
YMR292W,-1.07946883990617,5.14222797804998,4.03533516238849e-24,1.46414141835341e-22
YJL189W,-1.2091307576027,8.82465268166288,5.01781478657645e-24,1.80923584398497e-22
YPR020W,-0.862197262668199,7.63740908221292,5.24766614961324e-24,1.88035937994526e-22
YMR122W-A,-0.986892288225893,8.71622688614494,6.43224505539382e-24,2.29059393361524e-22
YIL053W,-1.1808814526874,7.46685923711784,7.98528080583771e-24,2.82620153183299e-22
YIL014C-A,0.868377766038561,7.13016698386436,1.01039219648185e-23,3.55423937896574e-22
YMR142C,-1.08931649837665,9.26646834812093,1.07183588332691e-23,3.73905733956554e-22
YOR182C,-1.05084920376203,7.95436946904511,1.08343809728403e-23,3.73905733956554e-22
